Medicine Type,Width (mm),Height (mm),Mask Area (mm^2),Perimeter (mm),Aspect Ratio,Extent,Solidity,Chain Code Length,Chain Code,Histogram R Mean,Histogram R StdDev,Histogram G Mean,Histogram G StdDev,Histogram B Mean,Histogram B StdDev,Histogram Gray Mean,Histogram Gray StdDev
Flask,20.0,31.52,468.09,105.41,0.63,0.74,0.87,311,"[2, 3, 3, 3, 3, 3, 2, 3, 3, 2, 3, 2, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 7, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 2, 3, 2, 2, 3, 2, 3, 2, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 1, 1, 1, 1, 1, 0, 1, 2, 1, 0, 1, 0, 7, 0, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 6, 7, 0, 7, 6, 5, 5, 5, 6, 7, 0, 1, 0, 2, 7, 7, 7, 7, 7, 4, 5, 6, 5, 6, 6, 5, 5, 5, 5, 6, 6, 7, 0, 7, 7, 0, 1, 6, 5, 5, 5, 5, 5, 6, 5, 6, 6, 6, 5, 5, 6, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 4, 5, 4, 4, 3, 4, 3, 4, 3, 4, 4, 3, 4, 5, 4, 5, 5, 5, 5, 5, 5, 3, 4, 6, 7, 6, 7, 6, 7, 6, 6, 5, 5, 5, 5, 6, 5, 5, 5, 5, 4, 5, 5, 6, 6, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 3, 4, 3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",22.88,23.62,22.76,29.49,22.52,26.79,22.77,28.79
,,,,,,,,,,,,,,,,,
Flask,19.7,31.04,452.62,108.16,0.63,0.74,0.87,323,"[2, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 2, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 7, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 2, 3, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 6, 7, 7, 7, 7, 5, 4, 6, 6, 0, 0, 1, 2, 7, 7, 7, 7, 7, 7, 3, 4, 6, 6, 7, 7, 4, 6, 6, 6, 7, 7, 5, 4, 1, 2, 2, 4, 5, 5, 5, 6, 7, 7, 7, 6, 7, 0, 1, 7, 5, 5, 5, 6, 5, 5, 5, 6, 5, 6, 6, 5, 6, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 4, 4, 4, 4, 3, 4, 4, 3, 4, 3, 4, 4, 5, 4, 5, 5, 5, 5, 5, 5, 2, 2, 4, 5, 6, 6, 7, 6, 7, 6, 7, 6, 6, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 4, 5, 6, 6, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 3, 4, 3, 4, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",22.7,23.97,22.64,29.95,22.41,26.47,22.65,28.83
,,,,,,,,,,,,,,,,,
Flask,19.7,31.04,454.62,108.09,0.63,0.74,0.87,324,"[2, 3, 3, 3, 3, 2, 3, 3, 3, 2, 2, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 7, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 2, 2, 3, 2, 3, 2, 2, 3, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 7, 0, 7, 0, 7, 7, 7, 7, 0, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 6, 0, 6, 0, 6, 5, 5, 4, 6, 7, 7, 0, 1, 1, 1, 7, 7, 7, 7, 7, 7, 4, 6, 5, 6, 5, 6, 6, 7, 7, 7, 4, 4, 1, 2, 3, 4, 5, 5, 6, 7, 7, 7, 6, 7, 0, 1, 1, 1, 6, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 6, 6, 7, 5, 6, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 4, 5, 4, 4, 4, 4, 3, 4, 4, 3, 4, 4, 3, 4, 5, 4, 5, 5, 5, 5, 5, 5, 3, 4, 6, 7, 6, 7, 6, 7, 6, 6, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 4, 6, 5, 6, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 3, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",22.73,23.73,22.66,29.82,22.42,27.2,22.66,28.9
,,,,,,,,,,,,,,,,,
Flask,19.7,31.04,453.87,107.32,0.63,0.74,0.87,321,"[2, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 2, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 7, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 2, 2, 3, 2, 3, 2, 2, 3, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 2, 3, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 0, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 6, 7, 7, 7, 4, 5, 5, 6, 7, 7, 0, 1, 1, 2, 7, 7, 7, 7, 7, 7, 7, 7, 4, 5, 5, 6, 5, 6, 4, 5, 5, 5, 6, 7, 6, 0, 6, 7, 0, 1, 1, 1, 2, 7, 5, 5, 6, 5, 5, 6, 5, 5, 5, 5, 5, 6, 6, 6, 5, 6, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 4, 4, 4, 4, 3, 4, 4, 3, 4, 4, 3, 4, 5, 4, 5, 5, 4, 6, 4, 2, 4, 5, 6, 6, 7, 6, 7, 6, 7, 6, 6, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 3, 4, 3, 4, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",22.75,22.94,22.67,29.46,22.42,26.68,22.68,28.81
,,,,,,,,,,,,,,,,,
Flask,19.7,31.04,454.71,104.86,0.63,0.74,0.87,314,"[2, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 7, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 2, 3, 2, 2, 3, 2, 2, 3, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 2, 1, 1, 1, 1, 0, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 7, 0, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 6, 7, 7, 7, 7, 7, 7, 7, 5, 4, 5, 6, 7, 0, 0, 1, 1, 7, 7, 7, 7, 7, 5, 6, 7, 5, 5, 5, 6, 4, 5, 5, 5, 6, 7, 6, 0, 6, 7, 0, 1, 1, 1, 5, 6, 5, 5, 5, 6, 5, 5, 5, 5, 5, 6, 7, 7, 5, 5, 6, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 6, 4, 6, 5, 4, 5, 5, 4, 4, 5, 4, 4, 5, 3, 4, 4, 3, 4, 3, 4, 4, 3, 4, 5, 4, 5, 5, 5, 5, 5, 5, 4, 6, 6, 7, 6, 7, 6, 6, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 4, 6, 5, 6, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 3, 4, 3, 4, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",22.8,23.41,22.72,29.77,22.47,27.11,22.72,29.15
,,,,,,,,,,,,,,,,,
